id	ivs	idhm	razdep
51269	0.527	0.555	0.569
51271	0.545	0.541	0.599
51273	0.516	0.564	0.634
51275	0.612	0.532	0.693
51277	0.452	0.592	0.600
51279	0.492	0.586	0.576
51281	0.568	0.549	0.677
51283	0.550	0.557	0.593
51285	0.339	0.615	0.516
51287	0.530	0.586	0.532
51289	0.392	0.721	0.440
51291	0.408	0.642	0.529
51293	0.530	0.568	0.625
51295	0.467	0.605	0.560
51297	0.443	0.610	0.563
51299	0.497	0.642	0.520
51301	0.477	0.597	0.573
51303	0.352	0.660	0.461
51305	0.405	0.624	0.528
